model,validation_metric,test_metric,validation_accuracy,test_accuracy,training_seconds
logistic_regression,0.9593098958333333,0.9609284332688587,0.9017857142857143,0.8823529411764706,22.535817861557007
random_forest,0.9661458333333333,0.9659574468085106,0.9017857142857143,0.9117647058823529,17.5069842338562
gbt_classifier,0.9581705729166666,0.9595744680851064,0.8839285714285714,0.9313725490196079,41.80940580368042
sk_logistic,,0.9458413926499033,,0.8921568627450981,0.02572917938232422
sk_random_forest,,0.9595744680851065,,0.9313725490196079,0.10702109336853027
sk_gradient_boosting,,0.9462282398452612,,0.8921568627450981,0.1216742992401123
