scaling_type,resource_level,rows_processed,elapsed_seconds,throughput_or_speedup,estimated_cost_usd,cost_per_10k_rows_usd
strong,2,138000,0.3669393062591553,1.0,4.0771034028795034e-05,2.954422755709785e-06
strong,4,138000,0.19658207893371582,1.8665959188623753,4.368490642971463e-05,3.1655729296894655e-06
strong,8,138000,0.19362998008728027,1.895054196120634,8.605776892768012e-05,6.236070212150733e-06
strong,16,138000,0.16441917419433594,2.2317306242242148,0.00014615037706163195,1.059060703345159e-05
weak,2,82800,0.19849300384521484,417143.16573377856,2.2054778205023875e-05,2.663620556162304e-06
weak,4,165600,0.13555002212524414,1221689.2140894716,3.0122227138943143e-05,1.81897506877676e-06
weak,8,331200,0.17131280899047852,1933305.5242728987,7.613902621799046e-05,2.298883641847538e-06
weak,16,662400,0.19829559326171875,3340467.5772382747,0.00017626274956597223,2.660971460838953e-06
